A242	-93.226565	-85.260264	-82.968184	-0.693117	-0.693117	-0.693117
A176	100.511459	103.122876	93.460402	0.492416	0.492416	0.492416
A78	-51.094313	-49.904921	-59.995994	-0.468320	-0.468320	-0.468320
A168	-81.578908	-83.868435	-75.998153	-0.701426	-0.701426	-0.701426
A31	0.116106	-0.777729	10.625115	0.103847	0.103847	0.103847
A223	-91.032567	-88.839163	-95.713820	-0.778628	-0.778628	-0.778628
A245	-7.067288	4.072463	6.658538	0.105364	0.105364	0.105364
A219	-116.850909	-115.285290	-112.434449	-0.959172	-0.959172	-0.959172
A12	-22.540713	-22.180445	-10.744714	-0.100820	-0.100820	-0.100820
A186	-110.517331	-112.313145	-112.271090	-0.987726	-0.987726	-0.987726
A105	-90.596850	-90.926495	-96.985317	-0.849472	-0.849472	-0.849472
A222	-103.340614	-108.151870	-109.987926	-0.894134	-0.894134	-0.894134
A76	-73.397261	-73.157082	-81.391272	-0.697771	-0.697771	-0.697771
A50	-52.235679	-52.002780	-61.881566	-0.511533	-0.511533	-0.511533
A188	-99.192913	-97.314050	-102.132838	-0.893155	-0.893155	-0.893155
A231	28.425901	25.854407	14.705074	0.100275	0.100275	0.100275
A45	-19.140996	-17.230026	-5.913713	-0.063855	-0.063855	-0.063855
A180	-23.869053	-26.449422	-37.576934	0.115694	0.115694	0.115694
A99	-14.671465	-17.162701	-28.298930	-0.123837	-0.123837	-0.123837
A234	-75.426145	-72.815118	-63.305337	-0.514416	-0.514416	-0.514416
A215	-64.040070	-61.428003	-51.405010	-0.434493	-0.434493	-0.434493
A235	-92.999905	-90.446772	-82.513826	-0.689099	-0.689099	-0.689099
A181	-55.242877	-44.932631	-47.547618	-0.380137	-0.380137	-0.380137
A38	126.567866	119.449639	121.124159	0.771794	0.771794	0.771794
A230	32.967009	35.525519	46.326734	0.261417	0.261417	0.261417
A91	136.152243	131.061357	133.670035	0.867509	0.867509	0.867509
A212	65.317217	67.857864	78.531275	0.299633	0.299633	0.299633
A24	20.093096	21.766500	32.897364	0.204922	0.204922	0.204922
A66	71.915337	69.502850	58.456192	0.182427	0.182427	0.182427
A42	56.390528	54.330310	43.204993	0.178903	0.178903	0.178903
A96	35.227426	37.800327	48.891365	0.140726	0.140726	0.140726
A57	65.198892	63.660594	74.839068	0.192984	0.192984	0.192984
A86	112.252518	114.415448	105.322827	0.582648	0.582648	0.582648
A56	43.004699	54.224362	55.681277	0.179193	0.179193	0.179193
A116	89.931231	92.355043	81.981646	0.376711	0.376711	0.376711
A151	137.605817	140.131221	135.091753	0.871632	0.871632	0.871632
A141	-63.899489	-61.800223	-70.817480	-0.593169	-0.593169	-0.593169
A120	139.385102	142.486044	145.090656	0.935945	0.935945	0.935945
A189	-86.760259	-84.540722	-91.374944	-0.780757	-0.780757	-0.780757
A80	-14.920030	-13.196058	-24.484077	-0.118547	-0.118547	-0.118547
A210	8.543345	11.137372	-0.016366	0.091826	0.091826	0.091826
A143	-32.570153	-21.516405	-19.124365	-0.181212	-0.181212	-0.181212
A113	25.069169	27.399663	16.246102	0.135185	0.135185	0.135185
A27	-41.844524	-30.900817	-31.840133	-0.296201	-0.296201	-0.296201
A137	-105.914314	-105.553024	-101.759380	-0.943499	-0.943499	-0.943499
A135	-97.731382	-95.764476	-89.868285	-0.841352	-0.841352	-0.841352
A167	-91.018773	-88.988892	-94.917633	-0.838486	-0.838486	-0.838486
A75	-83.649242	-75.678919	-76.038727	-0.720189	-0.720189	-0.720189
A240	-113.985962	-115.612743	-112.030029	-0.939645	-0.939645	-0.939645
A206	-95.966404	-93.882947	-99.774087	-0.839496	-0.839496	-0.839496
A107	-80.604173	-88.030299	-89.022440	-0.758659	-0.758659	-0.758659
A130	2.984079	0.370593	-10.825380	0.022987	0.022987	0.022987
A100	-47.518469	-45.136001	-34.503340	-0.319740	-0.319740	-0.319740
A43	34.291833	23.181928	25.259916	0.184503	0.184503	0.184503
A200	-88.368382	-85.822011	-77.773144	-0.679051	-0.679051	-0.679051
A102	-76.843287	-68.269448	-70.247770	-0.643863	-0.643863	-0.643863
A132	-50.102814	-39.700468	-42.258358	-0.363749	-0.363749	-0.363749
A183	-93.198540	-90.697884	-83.587452	-0.755264	-0.755264	-0.755264
A199	-68.067250	-58.425921	-61.034025	-0.495671	-0.495671	-0.495671
A122	145.397471	143.502293	145.195415	0.975276	0.975276	0.975276
A19	105.861761	106.214021	115.116846	0.632250	0.632250	0.632250
A62	131.646515	133.859371	138.754717	0.884177	0.884177	0.884177
A21	96.462310	86.219022	87.920473	0.429799	0.429799	0.429799
A229	57.371116	59.844098	69.849972	0.443537	0.443537	0.443537
A84	61.883833	59.866140	70.977790	0.188721	0.188721	0.188721
A213	43.604440	46.189465	57.312917	0.117840	0.117840	0.117840
A55	35.092027	36.567635	25.402041	0.202108	0.202108	0.202108
A32	21.043786	32.274880	33.223827	0.198520	0.198520	0.198520
A85	93.538370	95.660626	85.368431	0.406160	0.406160	0.406160
A146	35.503095	32.954864	44.101361	0.106929	0.106929	0.106929
A58	83.602328	94.020360	95.653819	0.398925	0.398925	0.398925
A60	120.468076	127.788250	128.467758	0.768980	0.768980	0.768980
GyyA	55.744615	55.644407	59.193343	0.000742	-0.000742	0.999600
A88	137.199351	138.908273	133.746591	0.881169	0.881169	0.881169
A79	-45.000998	-34.136233	-32.645932	-0.301049	-0.301049	-0.301049
GzyA	55.744615	55.644407	59.193343	0.868119	-0.868119	0.013384
GxxA	22.190039	89.198983	-6.598661	-0.496356	0.496356	0.024904
A169	-56.982373	-54.569576	-64.115643	-0.516649	-0.516649	-0.516649
A54	3.581628	14.834548	16.240989	0.165987	0.165987	0.165987
GyxA	22.190039	89.198983	-6.598661	0.000742	-0.000742	0.999600
A203	-114.039974	-112.779035	-110.133723	-0.980731	-0.980731	-0.980731
A145	21.863845	24.404252	13.256445	0.107303	0.107303	0.107303
A103	-89.003415	-87.411639	-79.951794	-0.748366	-0.748366	-0.748366
A163	-99.313207	-101.287439	-105.234919	-0.923419	-0.923419	-0.923419
A139	-91.662181	-90.196556	-96.193186	-0.843713	-0.843713	-0.843713
A49	-56.778409	-66.525619	-66.235327	-0.530061	-0.530061	-0.530061
A166	-103.942922	-105.407275	-101.791138	-0.940696	-0.940696	-0.940696
A156	22.756421	25.337525	36.474901	0.108146	0.108146	0.108146
A128	46.240156	43.628598	32.515096	0.120485	0.120485	0.120485
A68	16.195891	18.609896	29.722559	0.148879	0.148879	0.148879
A159	-45.034355	-42.419160	-31.704468	-0.283192	-0.283192	-0.283192
A236	-104.508336	-98.906689	-101.342673	-0.847269	-0.847269	-0.847269
A161	-80.203744	-72.074083	-74.609225	-0.672055	-0.672055	-0.672055
A121	147.638028	148.084914	148.057036	0.999242	0.999242	0.999242
A4	65.728682	66.075162	77.243999	0.236340	0.236340	0.236340
A61	135.603412	135.572660	140.378853	0.908476	0.908476	0.908476
A6	85.509994	86.577871	97.013732	0.409735	0.409735	0.409735
A126	77.363645	79.951675	90.428568	0.345501	0.345501	0.345501
A14	0.789215	0.523402	11.951231	0.109443	0.109443	0.109443
A94	79.267823	81.875424	92.236994	0.369829	0.369829	0.369829
A15	33.717495	34.041144	22.817402	0.216046	0.216046	0.216046
A193	55.234952	57.827743	46.752304	0.147111	0.147111	0.147111
A150	125.236047	127.843120	120.466459	0.732905	0.732905	0.732905
A227	53.745662	56.342225	45.185307	0.088295	0.088295	0.088295
A59	113.713175	115.188798	106.095202	0.598543	0.598543	0.598543
A36	103.871635	103.178883	112.336972	0.601822	0.601822	0.601822
A225	-53.995675	-51.520639	-61.667400	-0.418544	-0.418544	-0.418544
A195	92.733893	95.327614	86.506066	0.600585	0.600585	0.600585
A30	-24.369076	-12.954931	-12.179719	-0.101644	-0.101644	-0.101644
A109	-63.481337	-65.268731	-55.657649	-0.526660	-0.526660	-0.526660
A172	12.608222	15.201572	4.083277	0.120115	0.120115	0.120115
A108	-79.108472	-70.692709	-69.246860	-0.669816	-0.669816	-0.669816
A81	-3.114586	-5.008538	6.289624	0.087583	0.087583	0.087583
A171	-20.400278	-9.248649	-6.653633	0.093536	0.093536	0.093536
A218	-110.644771	-108.403141	-103.423539	-0.880061	-0.880061	-0.880061
A173	33.846362	36.448670	25.291633	0.086892	0.086892	0.086892
A201	-101.999876	-99.575352	-93.610844	-0.828583	-0.828583	-0.828583
